Name,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Burnout_rate
Resource 64,F,37,4,Single,Springfield,Logistics,Conceptual,12,4,59,1,2,4,type4,3,3,0.7516,0.7075,2,3,8,3,0.9262
Resource 65,M,58,4,Married,Springfield,Logistics,Directive,22,3,59,0,3,4,type2,2,3,-0.1048,-0.4537,3,2,6,5,0.1291
Resource 66,M,28,5,Married,Franklin,Sales,Behavioral,5,3,71,1,2,5,type3,1,4,-0.9612,-0.4537,2,3,8,3,0.1577
Resource 67,M,32,5,Married,Franklin,Quality,Conceptual,6,4,57,1,4,5,type2,3,1,-0.9612,0.7075,,2,5,3,0.0645
Resource 68,F,44,5,Single,Franklin,Accounting and Finance,Conceptual,8,1,52,0,3,3,type3,3,3,-0.9612,0.7075,2,1,8,4,0.1883
Resource 69,F,49,3,Married,Franklin,Sales,Behavioral,21,2,46,0,2,8,type3,1,2,0.7516,-0.4537,2,4,7,3,0.255
Resource 70,M,51,5,Single,Springfield,Logistics,Directive,13,4,63,1,2,5,type2,4,3,-0.9612,-0.4537,1,2,7,3,0.472
Resource 71,F,54,3,Married,Franklin,IT,Directive,15,4,51,0,2,8,type2,3,4,-0.9612,-0.4537,2,5,7,3,0.1183
Resource 72,F,54,2,Single,Lebanon,Purchasing,Behavioral,19,1,72,1,2,5,type3,3,4,0.7516,0.7075,3,4,8,4,0.0026
Resource 73,F,60,3,Single,Franklin,IT,Behavioral,21,2,29,0,4,5,type2,2,3,-0.9612,1.8688,2,3,7,3,0.1475
Resource 74,F,36,3,Married,Washington,Logistics,Directive,9,4,61,1,5,4,type3,4,3,-0.1048,-2.7762,2,3,8,4,0.1746
Resource 75,F,26,1,Married,Springfield,Marketing,Behavioral,4,2,43,1,1,8,type2,1,2,-0.1048,-1.615,2,4,7,3,0.1136
Resource 76,F,29,2,Married,Lebanon,IT,Conceptual,5,4,32,0,3,6,type2,3,3,-0.1048,0.7075,3,4,8,4,0.0386
Resource 77,M,42,3,Married,Clinton,Security,Directive,12,2,69,1,3,3,type2,5,3,,0.7075,2,3,6,3,0.4098
Resource 78,F,30,3,Single,Franklin,R&D,Behavioral,8,3,58,1,3,6,type2,1,3,-0.1048,1.8688,,2,8,3,0.0059
Resource 79,M,42,4,Single,Franklin,Operarions,Directive,10,3,40,0,5,7,type3,1,3,-0.1048,1.8688,2,3,7,5,0.089
Resource 80,F,65,1,Married,Lebanon,Human Resource Management,Analytical,32,1,72,0,3,5,type3,3,4,-0.1048,-0.4537,1,4,6,5,0.2695
Resource 81,F,50,5,Single,Springfield,IT,Behavioral,18,2,59,2,3,7,type2,2,3,-0.1048,-0.4537,2,3,8,4,0.1526
Resource 82,M,24,2,Married,Clinton,Sales,Conceptual,5,2,38,1,2,8,type2,3,3,0.7516,0.7075,2,3,8,3,0.4841
Resource 83,M,45,4,Married,Washington,Sales,Conceptual,11,2,39,1,4,9,type2,3,3,-1.8176,-0.4537,1,2,8,4,0.0578
Resource 84,F,46,5,Married,Washington,Human Resource Management,Directive,7,3,50,0,3,3,type2,1,3,-1.8176,-1.615,2,3,8,3,0.0634
Resource 85,F,25,5,Married,Springfield,Purchasing,Behavioral,6,3,70,0,5,4,type2,1,3,0.7516,0.7075,2,3,7,2,0.1431
Resource 86,F,23,3,Married,Springfield,Accounting and Finance,Conceptual,4,3,24,1,1,5,type2,1,5,-0.9612,0.7075,1,4,8,3,0.4611
Resource 87,F,20,3,Single,Springfield,Sales,Behavioral,1,1,23,1,3,8,type2,4,3,-0.9612,0.7075,2,3,8,3,0.284
Resource 88,F,58,4,Married,Franklin,Quality,Analytical,29,3,57,1,3,9,type2,2,3,,1.8688,2,4,8,3,0.1482
Resource 89,F,60,4,Married,Washington,Logistics,Conceptual,23,4,33,1,4,8,type3,3,1,,0.7075,3,3,6,5,0.1993
Resource 90,M,22,1,Married,Lebanon,IT,Analytical,3,2,34,2,1,7,type2,2,3,,-0.4537,2,2,8,2,0.1031
Resource 91,F,20,3,Married,Lebanon,Logistics,Behavioral,1,1,67,2,2,4,type2,3,4,0.7516,-0.4537,,3,8,3,0.2388
Resource 92,F,59,3,Single,Clinton,IT,Directive,28,2,20,1,1,4,type2,1,4,-0.9612,-0.4537,2,1,5,3,0.6453
Resource 93,F,47,3,Married,Franklin,Quality,Conceptual,24,1,67,1,1,1,type4,3,3,-0.9612,-1.615,3,3,8,3,0.1186
Resource 94,F,53,3,Married,Franklin,Production,Analytical,30,2,33,1,2,7,type2,1,3,0.7516,-0.4537,1,4,7,3,0.2676
Resource 95,M,36,4,Married,Springfield,IT,Analytical,13,1,28,0,4,6,type2,1,1,-0.9612,-0.4537,2,4,6,5,0.094
Resource 96,M,35,3,Married,Springfield,Logistics,Conceptual,6,3,66,1,3,6,type2,2,3,0.7516,-0.4537,2,1,7,2,0.0363
Resource 97,M,22,5,Married,Franklin,Production,Conceptual,,1,61,1,2,4,type3,1,1,1.6081,-0.4537,,2,5,5,0.035
Resource 98,F,,4,Married,Lebanon,Human Resource Management,Analytical,19,4,27,1,3,5,type2,4,4,-1.8176,-0.4537,3,2,5,3,0.0163
Resource 99,F,35,4,Married,Washington,IT,Behavioral,13,4,49,1,2,6,type2,4,3,-0.1048,0.7075,2,3,8,3,0.1629
Resource 100,F,39,3,Single,Springfield,Sales,Conceptual,13,2,59,2,3,5,type3,5,2,0.7516,0.7075,,2,8,5,0.058
Resource 101,F,31,3,Married,Springfield,Sales,Directive,4,3,55,2,5,7,type3,1,3,-1.8176,0.7075,1,1,5,3,0.1529
Resource 102,M,,4,Married,Lebanon,Operarions,Behavioral,3,2,36,0,3,5,type2,2,4,0.7516,0.7075,3,3,5,3,0.1309
Resource 103,F,44,3,Married,Lebanon,IT,Directive,16,1,50,2,3,8,type2,4,3,-0.1048,1.8688,1,3,7,4,0.1956
Resource 104,F,24,3,Married,Lebanon,IT,Directive,5,4,60,1,2,6,type3,2,3,0.7516,0.7075,,2,7,5,0.0344
Resource 105,F,25,1,Married,Lebanon,Quality,Directive,,4,68,0,4,8,type3,2,3,0.7516,-0.4537,2,2,8,5,0.2396
Resource 106,F,32,3,Married,Springfield,R&D,Directive,4,4,38,1,5,7,type2,4,4,0.7516,-0.4537,2,2,6,2,0.1938
Resource 107,F,32,3,Married,Franklin,Marketing,Analytical,10,3,62,1,2,4,type0,3,3,-0.1048,-0.4537,1,2,7,3,0.1589
Resource 108,M,21,3,Single,Springfield,Operarions,Behavioral,2,2,33,2,3,6,type3,2,3,-0.1048,-0.4537,3,4,8,4,0.1826
Resource 109,F,31,2,Single,Clinton,Operarions,Conceptual,3,2,73,1,4,4,type3,3,4,0.7516,-0.4537,1,3,5,4,0.7367
Resource 110,F,51,4,Single,Franklin,Operarions,Analytical,25,4,65,1,3,7,type2,3,3,-0.1048,-0.4537,,2,8,4,0.1293
Resource 111,F,37,3,Married,Lebanon,Purchasing,Directive,9,2,56,2,5,8,type2,2,3,-0.1048,1.8688,3,4,6,4,0.1212
Resource 112,M,30,5,Single,Springfield,Operarions,Conceptual,6,3,49,0,4,5,type2,4,2,-1.8176,-0.4537,2,4,5,5,0.6957
Resource 113,F,27,3,Single,Franklin,IT,Conceptual,3,1,63,0,3,8,type3,3,3,-1.8176,1.8688,3,2,6,5,0.2334
Resource 114,M,36,2,Married,Lebanon,IT,Analytical,14,4,57,0,2,7,type2,3,3,1.6081,0.7075,2,3,6,3,0.0151
Resource 115,M,27,3,Single,Springfield,R&D,Behavioral,3,1,29,2,4,5,type3,3,3,,1.8688,2,3,8,3,0.0213
Resource 116,F,59,4,Married,Washington,Logistics,Analytical,22,4,49,1,3,7,type2,3,4,1.6081,-1.615,,3,7,4,0.2573
Resource 117,M,,2,Married,Franklin,Operarions,Directive,5,3,47,0,1,6,type4,1,3,-0.1048,0.7075,,4,6,3,0.2365
Resource 118,F,65,3,Married,Washington,Human Resource Management,Directive,36,4,63,1,3,6,type2,1,4,1.6081,0.7075,3,4,8,3,0.2514
Resource 119,F,45,3,Single,Springfield,IT,Conceptual,14,3,72,1,2,4,type2,1,2,0.7516,0.7075,2,1,7,2,0.1657
Resource 120,F,24,2,Married,Franklin,IT,Behavioral,5,3,33,0,3,8,type2,3,3,-1.8176,0.7075,2,4,9,4,0.4422
Resource 121,F,28,3,Single,Lebanon,Production,Behavioral,5,1,53,1,3,6,type3,3,3,-1.8176,0.7075,1,2,9,5,0.235
Resource 122,M,54,5,Married,Washington,Logistics,Analytical,21,4,57,1,5,9,type2,2,3,-0.1048,-1.615,2,4,5,3,0.004
Resource 123,F,42,4,Married,Washington,IT,Conceptual,7,2,60,1,1,4,type2,2,4,-0.1048,-0.4537,2,3,5,3,0.5882
Resource 124,F,59,3,Married,Franklin,Accounting and Finance,Directive,30,1,55,0,2,4,type2,2,3,0.7516,0.7075,1,4,7,3,0.2572
Resource 125,F,56,5,Married,Springfield,Accounting and Finance,Directive,21,3,69,1,2,4,type2,3,3,-0.1048,0.7075,2,4,7,3,0.0012
Resource 126,F,31,4,Married,Clinton,R&D,Directive,9,3,62,0,2,8,type2,1,4,-0.9612,-0.4537,,4,7,3,0.0226
Resource 127,F,37,3,Married,Franklin,Operarions,Behavioral,12,1,55,0,3,3,type2,4,3,,-0.4537,2,2,7,3,0.1409
Resource 128,M,41,3,Single,Springfield,Operarions,Conceptual,11,4,61,1,1,4,type3,3,3,-1.8176,0.7075,2,2,8,3,0.14
Resource 129,F,37,5,Married,Washington,Operarions,Conceptual,14,3,46,2,1,8,type2,3,3,-0.1048,1.8688,2,2,5,4,0.1046
Resource 130,F,24,3,Single,Springfield,Human Resource Management,Conceptual,5,3,68,0,3,6,type1,1,3,,-0.4537,2,3,5,3,0.0385
Resource 131,M,28,3,Married,Lebanon,Sales,Directive,4,1,48,0,3,1,type0,1,3,-0.9612,-2.7762,2,2,8,2,0.7559
Resource 132,F,50,3,Married,Lebanon,Operarions,Directive,19,2,64,1,3,6,type2,2,3,-0.9612,-0.4537,2,3,5,3,0.0195
Resource 133,F,50,4,Single,Franklin,Human Resource Management,Analytical,20,2,36,1,1,6,type2,1,3,-0.1048,-0.4537,2,3,7,3,0.2702
Resource 134,F,62,4,Married,Franklin,Sales,Conceptual,23,4,65,1,1,5,type3,3,3,0.7516,-0.4537,2,2,6,3,0.1402
Resource 135,F,54,3,Married,Springfield,Sales,Analytical,17,2,33,1,3,2,type2,3,5,-0.9612,0.7075,2,3,7,3,0.1892
Resource 136,F,20,3,Single,Springfield,Purchasing,Directive,1,1,37,0,2,8,type3,4,3,0.7516,1.8688,,2,7,3,0.5122
Resource 137,F,47,3,Married,Lebanon,Purchasing,Behavioral,21,1,65,1,1,5,type3,3,3,0.7516,-0.4537,2,3,8,4,0.097
Resource 138,M,35,5,Single,Franklin,R&D,Analytical,11,3,59,0,4,5,type2,1,3,,0.7075,2,3,9,3,0.0269
Resource 139,F,26,4,Single,Franklin,Logistics,Conceptual,3,1,70,1,5,6,type2,3,3,0.7516,0.7075,2,4,8,3,0.1776
Resource 140,F,51,4,Single,Franklin,Purchasing,Behavioral,17,2,73,1,2,8,type2,3,4,1.6081,-0.4537,2,2,7,3,0.0242
Resource 141,M,59,4,Married,Lebanon,Operarions,Behavioral,34,2,53,1,2,7,type2,2,3,-0.1048,0.7075,2,4,8,3,0.2974
Resource 142,F,31,5,Married,Lebanon,Sales,Conceptual,6,1,22,1,2,6,type2,2,4,-1.8176,-0.4537,2,4,7,3,0.1512
Resource 143,F,19,4,Married,Clinton,Security,Analytical,0,0,42,1,2,7,type2,3,2,-0.1048,1.8688,2,3,8,3,0.1638
Resource 144,F,60,3,Married,Springfield,IT,Behavioral,38,3,21,1,3,1,type3,1,3,,-0.4537,2,3,6,3,0.0726
Resource 145,F,,3,Single,Springfield,R&D,Analytical,18,4,69,1,3,4,type2,1,4,-0.9612,-0.4537,2,2,7,2,0.0211
Resource 146,M,27,4,Married,Lebanon,Operarions,Analytical,5,3,40,0,1,7,type2,3,3,,-0.4537,1,3,7,2,0.1772
Resource 147,M,20,4,Single,Lebanon,IT,Analytical,1,1,47,0,2,9,type2,1,4,-0.1048,-0.4537,2,3,8,2,0.7234
Resource 148,F,37,3,Married,Lebanon,Human Resource Management,Analytical,8,3,73,0,2,8,type1,4,3,-0.1048,0.7075,1,3,8,3,0.0518
Resource 149,M,63,3,Married,Lebanon,IT,Directive,38,3,59,1,4,4,type2,3,3,-0.1048,-0.4537,1,4,8,3,0.0671
Resource 150,F,31,2,Married,Clinton,Human Resource Management,Directive,3,2,37,1,3,10,type2,2,4,-0.1048,-0.4537,2,3,8,3,0.1462
Resource 151,M,32,2,Single,Lebanon,Operarions,Analytical,10,2,24,1,5,7,type2,3,3,0.7516,-2.7762,2,4,6,3,0.083
Resource 152,M,,2,Married,Franklin,Operarions,Directive,18,3,31,2,3,6,type3,1,1,-0.1048,-0.4537,2,3,7,2,0.7402
Resource 153,M,28,4,Single,Washington,Accounting and Finance,Analytical,5,2,69,1,3,7,type3,1,1,-1.8176,-0.4537,2,3,6,5,0.1732
Resource 154,M,63,3,Married,Franklin,IT,Conceptual,38,1,35,0,3,3,type2,4,3,0.7516,-0.4537,2,4,8,3,0.2795
Resource 155,F,26,3,Married,Franklin,Accounting and Finance,Directive,3,2,48,1,2,3,type2,4,5,-0.9612,-0.4537,3,3,8,5,0.1588
Resource 156,M,46,2,Married,Springfield,Sales,Directive,21,1,55,0,5,6,type3,2,5,0.7516,-0.4537,3,3,7,3,0.9696
Resource 157,M,20,3,Married,Clinton,IT,Behavioral,1,1,40,1,4,1,type4,2,3,0.7516,-0.4537,2,3,8,5,0.1887
Resource 158,F,47,4,Married,Lebanon,R&D,Behavioral,25,3,30,1,2,8,type2,1,3,0.7516,-0.4537,2,3,5,4,0.0508
Resource 159,F,24,3,Married,Franklin,Sales,Behavioral,5,1,58,2,1,5,type2,3,4,,0.7075,2,4,6,2,0.1657
Resource 160,M,63,3,Married,Springfield,Logistics,Conceptual,37,2,39,0,3,5,type2,1,4,-0.1048,-0.4537,,2,8,4,0.0482
Resource 161,F,19,4,Married,Lebanon,Marketing,Behavioral,0,0,44,0,4,4,type2,3,4,1.6081,0.7075,1,2,5,3,0.001
Resource 162,M,56,3,Single,Lebanon,Logistics,Conceptual,26,1,74,1,2,8,type2,1,5,-0.1048,-0.4537,3,3,5,4,0.0242
Resource 163,F,61,3,Married,Washington,Sales,Conceptual,23,4,35,0,3,6,type3,3,3,-0.1048,-0.4537,3,4,8,3,0.1162
Resource 164,F,26,4,Married,Franklin,Human Resource Management,Conceptual,2,2,55,1,5,7,type4,3,3,-0.1048,0.7075,3,3,8,3,0.2907
Resource 165,M,19,4,Married,Springfield,R&D,Directive,0,0,68,1,3,9,type2,3,3,0.7516,0.7075,3,3,6,3,0.0505
Resource 166,F,46,5,Single,Washington,Marketing,Directive,18,3,58,2,4,7,type2,2,4,1.6081,-1.615,1,3,6,3,0.1175
Resource 167,M,26,3,Single,Springfield,Purchasing,Behavioral,3,2,32,0,3,6,type2,4,4,-0.1048,1.8688,2,3,6,3,0.074
Resource 168,M,24,1,Single,Franklin,Operarions,Conceptual,5,2,39,2,1,5,type3,3,1,-0.1048,-0.4537,2,4,9,4,0.4052
Resource 169,F,59,4,Single,Lebanon,R&D,Conceptual,35,4,34,0,2,8,type4,3,3,-0.1048,-0.4537,1,3,5,3,0.2223
Resource 170,M,25,3,Single,Lebanon,IT,Conceptual,6,1,48,1,3,6,type2,1,3,0.7516,-0.4537,3,1,7,2,0.1663
Resource 171,F,19,3,Married,Washington,Marketing,Conceptual,0,0,37,0,3,5,type2,3,3,0.7516,0.7075,2,4,7,3,0.0617
Resource 172,M,64,4,Married,Washington,Sales,Analytical,27,1,59,2,2,8,type3,4,3,-0.9612,0.7075,2,4,6,3,0.1744
Resource 173,F,42,4,Single,Franklin,Logistics,Conceptual,15,3,53,0,3,7,type3,5,2,0.7516,-0.4537,2,3,5,3,0.0834
Resource 174,F,43,3,Married,Franklin,Production,Behavioral,4,4,21,0,1,8,type2,2,3,-0.1048,-0.4537,2,3,6,3,0.0579
Resource 175,M,26,4,Single,Lebanon,Logistics,Conceptual,3,3,66,2,4,4,type2,2,3,0.7516,0.7075,3,2,9,3,0.2229
Resource 176,M,,2,Single,Franklin,IT,Analytical,26,4,70,1,2,7,type2,1,3,,-0.4537,2,3,8,5,0.2345
Resource 177,F,19,4,Married,Washington,Logistics,Conceptual,0,0,45,0,3,8,type3,2,3,-1.8176,-0.4537,3,2,8,3,0.1622
Resource 178,F,30,4,Married,Lebanon,IT,Behavioral,8,1,67,0,4,5,type3,3,3,0.7516,0.7075,1,3,5,3,0.0785
Resource 179,M,,1,Married,Lebanon,IT,Behavioral,0,0,20,1,3,4,type2,4,3,-1.8176,-0.4537,2,4,8,2,0.2276
Resource 180,M,51,4,Single,Lebanon,Purchasing,Analytical,27,2,69,0,4,5,type2,3,3,-1.8176,-0.4537,3,3,8,4,0.024
Resource 181,F,58,3,Single,Lebanon,R&D,Analytical,32,2,66,1,1,6,type2,4,4,-0.9612,-0.4537,2,4,6,1,0.2394
Resource 182,F,19,3,Single,Lebanon,Human Resource Management,Conceptual,0,0,20,1,3,9,type2,2,5,-0.9612,-0.4537,2,4,8,3,0.1863
Resource 183,F,24,1,Married,Franklin,Human Resource Management,Analytical,5,3,65,0,3,9,type2,4,3,-0.1048,-0.4537,2,2,8,3,0.0553
Resource 184,M,35,4,Married,Lebanon,Operarions,Analytical,12,2,32,2,4,8,type4,1,3,-0.1048,-0.4537,2,3,5,4,0.2109
Resource 185,F,37,5,Married,Lebanon,Purchasing,Directive,10,2,72,0,4,6,type2,3,4,-0.1048,-0.4537,1,2,5,3,0.0949
Resource 186,F,19,4,Married,Franklin,Sales,Conceptual,0,0,65,1,3,5,type3,2,3,-1.8176,0.7075,2,2,5,3,0.819
Resource 187,M,31,3,Single,Lebanon,Accounting and Finance,Behavioral,3,3,27,1,3,6,type2,2,4,-0.1048,-0.4537,2,3,6,3,0.1176
Resource 188,F,35,3,Married,Washington,Production,Analytical,13,4,61,0,1,8,type3,2,3,-1.8176,0.7075,1,1,7,1,0.9391
Resource 189,M,29,3,Married,Lebanon,Purchasing,Behavioral,6,3,52,1,3,5,type3,2,3,,-0.4537,1,2,5,3,0.1092
